lon,lat,SN,Location,X,Y,depth,Q(m^3/h)
85.32067379,27.72466842,1,British Embassy Lainchaur,630441,3068045,245,10.8
85.33208292,27.72142786,2,Chinese Embassy Baluwatar,631570,3067698,275,10.8
85.32376364,27.72777912,3,"Embassy of the USA, Panipokhari",630742,3068393,250,9
85.32314143,27.72663907,4,Japanese Embassy Panipokhari,630682,3068266,200,7.2
85.31578404,27.67040146,5,Japanese Embassy Staff quarter,630023,3062026,200,5.4
85.3208237,27.72448652,6,Indian Embassy Lainchaur,630456,3068025,275,10.8
85.31679148,27.67158302,7,British Gurkha Transit Man Bhawan,630121,3062158,185,2.88
85.29936072,27.72741487,8,"Dairy Development Corporation, BID",628336,3068327,24,12.5
85.29131479,27.67365463,9,"Horticulture Development Project, Kirtipur",627605,3062361,300,21.6
85.26004332,27.6866842,10,"DWSS, Naikap",624505,3063773,122,36
85.31528139,27.71725722,11,Dairy Dev. Corporation Lainchaur,629918,3067218,260,3
85.32920149,27.73466614,12,Kanti Children Hospital Maharajgunj,631270,3069162,140,2.52
85.33046637,27.73610678,13,Teaching Hospital Maharajgunj,631393,3069323,325,72
85.32858972,27.72519722,14,Nepal Rastra Bank (Near gate) Baluwatar,631221,3068112,265,27
85.32849041,27.72536963,15,"Nepal Rastra Bank, Baluwatar",631211,3068131,250,36
85.31780059,27.67965867,16,"Sajha Yatayat, Pulchowk",630211,3063054,250,8.56
85.31122446,27.69936567,17,"Min. of Finance, Bagh Durbar",629539,3065231,300,29.98
85.32099979,27.66838467,18,"Patan Hospital, Lagankhel",630540,3061808,250,42
85.30561309,27.6955385,19,SR Tropical Hospital Teku,628990,3064801,300,29.98
85.31806843,27.68930245,20,"Maternity Hospital, Thapathali",630226,3064123,300,11.98
85.32085711,27.69780325,21,"Rastriya banijya Bank, Bhadrakali Plaza",630491,3065068,300,24
85.31822312,27.69880291,22,Nepal Telecom. Corporation,630230,3065176,300,27
85.32642108,27.69598143,23,"Nepal TV, Singh durbar",631042,3064872,306,21
85.38203868,27.67361853,24,TB Hospital Sano Thimi,636556,3062454,250,9
85.3727592,27.6812906,25,UECP Sanothimi,635631,3063294,280,8.28
85.37532966,27.6809583,26,CTEVT Sanothimi,635885,3063260,300,7.2
85.29496272,27.69333746,27,"HMTTC, Rabibhawan, kalimati",627942,3064546,282,7.2
85.37068435,27.6839731,28,"SOS balgram, Sanothimi",635423,3063589,257,46
85.32948871,27.65881055,29,"Swimming Pool Complex, Satdobato",631389,3060756,300,30
85.31590863,27.69517034,30,"Dasarath Stadium, Tripureswor",630006,3064771,260,5.97
85.31696557,27.67849353,31,"DWIDP, Hariharbhawan",630130,3062924,250,7.2
85.30565779,27.70781031,32,"Ayurvedic Hospital, Naradevi",628980,3066161,258,5.4
85.3270633,27.68956847,33,Royal Drug Research Laboratory,631113,3064162,280,23.76
85.30570032,27.68156897,34,"Nursing Campus, Sanepa",629015,3063253,78,4.68
85.35216309,27.70521625,35,"TIA/Golf Course, Sinamangal",633570,3065923,250,14.4
85.35366631,27.70379388,36,"TIA/Golf Course, Sinamangal",633720,3065767,250,0.76
85.31246537,27.71833972,37,"Ascol Hostel, Lainchaur",629639,3067335,30,0.94
85.31206368,27.68222172,38,"Ascol Hostel, Lainchaur",629642,3063332,21,0.79
85.31287165,27.71755081,39,"Amrit Campus, lainchaur",629680,3067248,285,10.8
85.29931885,27.69992909,40,Vegetable Market Kalimati,628364,3065281,250,3.6
85.30323748,27.72937264,41,"Shree Ram Rubber Ind.,",628716,3068548,31,2.52
85.30303195,27.72999721,42,"Balaju Ind. District, balaju",628695,3068617,30,18
85.30301113,27.72995229,43,"Balaju Ind. District, balaju",628693,3068612,21,6.66
85.30449206,27.73509084,44,Central hatchery Balaju Bypass,628833,3069183,140,2.88
85.31705955,27.70490496,45,"NEA, Ratnapark",630108,3065851,310,2.16
85.45688756,27.68725299,46,NEA Training Center Bhaktapur,643923,3064050,280,10.08
85.28125172,27.67901795,47,Tribhuvan University Kirtipur,626606,3062945,300,5.4
