id,lat,lon,value
1,27.59477851,85.25350273,-1.6896
2,27.59477851,85.25750272,4.7568
3,27.59477851,85.26050272,-0.848267
4,27.59477851,85.26750272,2.63267
5,27.59477851,85.27350271,5.27217
6,27.59477851,85.27850271,-1.96551
7,27.59477851,85.2905027,-0.4818
8,27.59477851,85.30950268,4.99082
9,27.59477851,85.31550268,2.23097
10,27.59477851,85.31850268,3.90318
11,27.59477851,85.32550267,6.91988
12,27.59477851,85.32850267,5.55896
13,27.59477851,85.33450266,2.38482
14,27.59477851,85.33950266,-0.130357
15,27.59477851,85.34150266,-2.26205
16,27.59477851,85.35050265,6.38993
17,27.59477851,85.35650265,7.13737
18,27.59477851,85.36650264,6.77751
19,27.59477851,85.36750264,7.87025
20,27.59477851,85.37650263,9.48671
21,27.59477851,85.37850263,8.93508
22,27.59477851,85.48350255,1.77029
23,27.59777851,85.25350273,0.520353
24,27.59977851,85.25950272,0.56555
25,27.59577851,85.26450272,3.37758
26,27.59877851,85.26650272,0.26268
27,27.59577851,85.27450271,-9.84245
28,27.59677851,85.27750271,1.83055
29,27.59577851,85.2835027,-0.760936
30,27.59677851,85.2895027,-4.01257
31,27.59877851,85.2915027,1.10503
32,27.59977851,85.29850269,-1.48316
33,27.59877851,85.30450269,2.54789
34,27.59877851,85.30850268,2.8634
35,27.59577851,85.31450268,-0.617072
36,27.59577851,85.31650268,3.58276
37,27.59777851,85.32250267,6.71666
38,27.59777851,85.32950267,2.9417
39,27.59577851,85.33550266,1.88613
40,27.59677851,85.33750266,0.0157738
41,27.59577851,85.34150266,-3.56981
42,27.59977851,85.34950265,5.62701
43,27.59977851,85.35650265,6.212
44,27.59877851,85.35750265,5.57183
45,27.59977851,85.36550264,6.75579
46,27.59977851,85.36750264,8.10613
47,27.59977851,85.37250264,8.91569
48,27.59877851,85.38050263,6.81318
49,27.59877851,85.38250263,2.5727
50,27.59877851,85.45750257,6.44123
51,27.59877851,85.45850257,6.57097
52,27.59777851,85.47750256,4.97637
53,27.6007785,85.24550273,6.92455
54,27.6037785,85.25250273,4.67691
55,27.6027785,85.25750272,5.23771
56,27.6017785,85.26150272,2.76214
57,27.6017785,85.26650272,1.52199
58,27.6007785,85.27250271,-2.45826
59,27.6027785,85.2855027,-3.48839
60,27.6027785,85.2865027,-2.90387
61,27.6007785,85.2935027,0.556123
62,27.6007785,85.29750269,-1.74643
63,27.6027785,85.30250269,-3.52304
64,27.6007785,85.30850268,0.0380201
65,27.6017785,85.31450268,2.47241
66,27.6017785,85.31650268,3.29824
67,27.6017785,85.32250267,7.669
68,27.6037785,85.33050267,3.29349
69,27.6007785,85.33350267,2.25758
70,27.6007785,85.33950266,0.163496
71,27.6007785,85.34250266,-0.687244
72,27.6037785,85.34950265,3.93705
73,27.6027785,85.35650265,4.77152
74,27.6017785,85.35750265,4.10291
75,27.6007785,85.36550264,6.4493
76,27.6027785,85.36850264,6.95414
77,27.6027785,85.37250264,6.88355
78,27.6007785,85.38050263,6.8604
79,27.6027785,85.38250263,4.26611
80,27.6017785,85.42850259,11.2551
81,27.6077785,85.25250273,4.4463
82,27.6077785,85.25850272,1.6525
83,27.6057785,85.26050272,0.693341
84,27.6057785,85.26850272,4.95265
85,27.6057785,85.27250271,1.39071
86,27.6077785,85.27550271,2.11245
87,27.6067785,85.2895027,1.18007
88,27.6067785,85.2925027,-3.07491
89,27.6087785,85.29650269,-1.24474
90,27.6077785,85.30550269,-1.62408
91,27.6077785,85.30650269,-1.35157
92,27.6087785,85.31150268,-1.74966
93,27.6067785,85.31650268,2.31298
94,27.6057785,85.32250267,7.35827
95,27.6047785,85.32950267,4.97736
96,27.6047785,85.33250267,2.2908
97,27.6057785,85.33650266,4.40315
