id,lat,lon,value
1,27.59466861,85.25044078,4.42961
2,27.59566861,85.27944075,2.53274
3,27.59466861,85.28344075,0.202879
4,27.59466861,85.29044075,1.31161
5,27.59466861,85.29244074,2.60672
6,27.59566861,85.31044073,5.2328
7,27.59566861,85.31644073,-1.30895
8,27.59566861,85.31744072,1.0787
9,27.59566861,85.32644072,3.62918
10,27.59566861,85.32744072,3.10213
11,27.59566861,85.33644071,1.3137
12,27.59466861,85.34144071,-2.57818
13,27.59466861,85.34244071,-2.06911
14,27.59466861,85.3494407,2.82568
15,27.59566861,85.36244069,4.16843
16,27.59566861,85.36344069,3.64042
17,27.59466861,85.36844069,4.38716
18,27.59466861,85.37744068,8.58318
19,27.59566861,85.37944068,7.33813
20,27.59566861,85.38444067,10.041
21,27.59466861,85.46544061,6.3863
22,27.59466861,85.4734406,5.67055
23,27.59566861,85.4774406,4.56838
24,27.5996686,85.25344077,3.93178
25,27.59666861,85.26744076,-0.681828
26,27.5996686,85.27444076,-1.03855
27,27.59766861,85.28044075,-1.49722
28,27.59766861,85.28644075,-2.04498
29,27.59666861,85.29144074,-2.25835
30,27.59766861,85.29444074,-7.0002
31,27.59766861,85.30244074,3.56885
32,27.59866861,85.30944073,-0.45319
33,27.59666861,85.31644073,0.877843
34,27.59666861,85.31744072,1.68537
35,27.59666861,85.32244072,3.1417
36,27.59866861,85.33144071,0.345656
37,27.5996686,85.33644071,0.0942989
38,27.59866861,85.33944071,-2.99305
39,27.5996686,85.34244071,-2.72092
40,27.59666861,85.3504407,2.68242
41,27.5996686,85.3534407,3.89521
42,27.59666861,85.35844069,3.08058
43,27.5996686,85.36544069,5.36319
44,27.59666861,85.36844069,6.2315
45,27.5996686,85.37544068,7.17037
46,27.5996686,85.38144068,6.08783
47,27.59766861,85.38344067,6.84548
48,27.59666861,85.46744061,6.42952
49,27.59666861,85.47044061,7.78588
50,27.59666861,85.4754406,5.42719
51,27.6026686,85.24544078,3.81926
52,27.6026686,85.25544077,3.02296
53,27.6046686,85.25844077,2.2694
54,27.6036686,85.26144077,4.44703
55,27.6006686,85.27044076,-1.34883
56,27.6006686,85.27344076,-2.83113
57,27.6016686,85.27944075,1.9404
58,27.6046686,85.28544075,-3.68985
59,27.6006686,85.28944075,-0.343523
60,27.6036686,85.29444074,0.0477618
61,27.6046686,85.29744074,1.315
62,27.6036686,85.30644073,-0.490185
63,27.6006686,85.31144073,0.660251
64,27.6046686,85.31644073,-0.612481
65,27.6046686,85.31744072,-0.333743
66,27.6016686,85.32244072,4.64758
67,27.6016686,85.33144071,0.348349
68,27.6016686,85.33244071,0.306401
69,27.6006686,85.34144071,-2.5208
70,27.6006686,85.34244071,-0.844227
71,27.6006686,85.3484407,2.62736
72,27.6006686,85.3544407,3.0002
73,27.6006686,85.35844069,2.89195
74,27.6016686,85.36444069,4.0693
75,27.6036686,85.36944068,4.7929
76,27.6046686,85.37444068,3.23242
77,27.6006686,85.38044068,4.13894
78,27.6006686,85.46344061,5.17651
79,27.6086686,85.25044078,4.22715
80,27.6086686,85.25244077,4.70643
81,27.6086686,85.25744077,2.5124
82,27.6066686,85.26144077,2.95787
83,27.6056686,85.27044076,5.04517
84,27.6086686,85.27444076,0.253199
85,27.6056686,85.28044075,1.6542
