Date,Up
2015/04/25,0
2015/04/26,-11.226
2015/04/27,-9.142
2015/04/28,-10.531
2015/04/29,-8.137
2015/04/30,-7.765
2015/05/01,-8.356
2015/05/02,-10.554
2015/05/03,-17.407
2015/05/04,-7.268
2015/05/05,-14.355
2015/05/06,-8.211
2015/05/07,-16.488
2015/05/09,-14.481
2015/05/10,-8.632
2015/05/11,-13.406
2015/05/12,-17.291
2015/05/13,-13.644
2015/05/14,-16.359
2015/05/15,-17.365
2015/05/16,-12.77
2015/05/17,-9.946
2015/05/18,-14.571
2015/05/19,-15.828
2015/05/20,-20.106
2015/05/21,-27.946
2015/05/22,-27.545
2015/05/23,-12.64
2015/05/24,-22.388
2015/05/25,-11.686
2015/05/26,-18.772
2015/05/27,-14.608
2015/05/28,-24.772
2015/05/29,-19.119
2015/05/30,-23.239
2015/05/31,-22.867
2015/06/01,-15.783
2015/06/02,-19.624
2015/06/03,-18.515
2015/06/04,-20.218
2015/06/05,-23.254
2015/06/06,-22.349
2015/06/07,-30.37
2015/06/08,-29.522
2015/06/09,-12.314
2015/06/10,-32.161
2015/06/11,-28.394
2015/06/12,-21.631
2015/06/13,-29.204
2015/06/14,-25.582
2015/06/15,-26.864
2015/06/16,-26.996
2015/06/17,-32.745
2015/06/18,-20.656
2015/06/19,-18.566
2015/06/20,-29.523
2015/06/21,-25.742
2015/06/22,-18.813
2015/06/23,-19.8
2015/06/24,-35.12
2015/06/25,-29.737
2015/06/26,-26.439
2015/06/27,-27.507
2015/06/28,-32.607
2015/06/29,-34.739
2015/06/30,-25.237
2015/07/01,-21.695
2015/07/02,-31.267
2015/07/03,-35.823
2015/07/04,-34.683
2015/07/05,-32.282
2015/07/06,-33.476
2015/07/07,-34.872
2015/07/08,-37.35
2015/07/09,-34.569
2015/07/10,-36.1
2015/07/11,-47.821
2015/07/12,-36.613
2015/07/13,-40.369
2015/07/14,-38.987
2015/07/15,-36.867
2015/07/16,-30.246
2015/07/17,-41.876
2015/07/18,-40.298
2015/07/19,-37.98
2015/07/20,-32.602
2015/07/21,-41.181
2015/07/22,-46.038
2015/07/23,-45.193
2015/07/24,-42.945
2015/07/25,-42.357
2015/07/26,-39.913
2015/07/27,-38.624
2015/07/28,-41.862
2015/07/29,-38.133
2015/07/30,-35.218
2015/07/31,-42.869
2015/08/01,-39.53
2015/08/02,-47.282
2015/08/03,-43.961
2015/08/04,-44.561
2015/08/05,-41.986
2015/08/06,-40.035
2015/08/07,-44.055
2015/08/08,-43.303
2015/08/09,-41.165
2015/08/10,-43.097
2015/08/11,-48.567
2015/08/12,-48.863
2015/08/13,-36.659
2015/08/14,-37.738
2015/08/15,-42.383
2015/08/16,-51.46
2015/08/17,-49.634
2015/08/18,-40.582
2015/08/19,-53.185
2015/08/20,-52.023
2015/09/18,-50.158
2015/09/19,-54.091
2015/09/20,-45.277
2015/09/21,-53.702
2015/09/22,-49.458
2015/09/23,-47.455
2015/09/24,-47.17
2015/09/25,-45.956
2015/09/26,-50.451
2015/09/27,-43.212
2015/09/28,-52.13
2015/09/29,-57.808
2015/09/30,-59.993
2015/10/01,-51.452
2015/10/02,-44.062
2015/10/03,-56.638
2015/10/04,-53.093
2015/10/05,-51.513
2015/10/06,-51.065
2015/10/07,-44.826
2015/10/08,-46.954
2015/10/09,-50.789
2015/10/10,-52.356
2015/10/11,-50.03
2015/10/12,-45.45
2015/10/13,-48.644
2015/10/14,-53.936
2015/10/15,-50.296
2015/10/16,-48.418
2015/10/17,-51.438
2015/10/20,-54.64
2015/10/21,-48.611
2015/10/22,-49.457
2015/10/23,-49.322
2015/10/24,-48.883
2015/10/25,-50.132
2015/10/26,-53.481
2015/10/27,-43.88
2015/10/28,-43.691
2015/10/29,-50.219
2015/10/30,-54.343
2015/10/31,-41.154
2015/11/01,-53.186
2015/11/02,-52.078
2015/11/03,-43.887
2015/11/04,-47.533
2015/11/05,-45.459
2015/11/06,-48.459
2015/11/07,-47.613
2015/11/08,-47.611
2015/11/09,-44.137
2015/11/10,-49.38
2015/11/11,-47.809
2015/11/12,-44.17
2015/11/13,-42.175
2015/11/14,-40.246
2015/11/15,-44.03
2015/11/16,-43.735
2015/11/17,-39.798
2015/11/18,-44.765
2015/11/19,-41.421
2015/11/20,-50.719
2015/11/21,-43.463
2015/11/22,-49.479
2015/11/23,-44.893
2015/11/24,-55.447
2015/11/25,-45.763
2015/11/26,-43.997
2015/11/27,-44.33
2015/11/28,-43.472
2015/11/29,-52.074
2015/11/30,-44.858
2015/12/01,-45.979
2015/12/02,-47.26
2015/12/03,-48.46
2015/12/04,-45.587
2015/12/05,-45.94
2015/12/06,-46.761
2015/12/07,-46.304
2015/12/08,-43.314
2015/12/09,-48.02
2015/12/10,-49.33
2015/12/11,-46.429
2015/12/12,-43.84
2015/12/13,-45.102
2015/12/14,-41.21
2015/12/15,-47.04
2015/12/16,-45.569
2015/12/17,-44.858
2015/12/18,-46.654
2015/12/19,-43.703
2015/12/20,-43.48
2015/12/21,-46.133
2015/12/22,-47.48
2015/12/23,-45.549
2015/12/24,-45.037
2015/12/25,-42.051
2015/12/26,-44.075
2015/12/27,-48.338
2015/12/28,-50.03
2015/12/29,-47.745
2015/12/30,-48.47
2015/12/31,-41.723
2016/01/01,-42.43
2016/01/02,-39.828
2016/01/03,-42.464
2016/01/04,-41.802
2016/01/05,-42.228
2016/01/06,-42.372
2016/01/07,-40.128
2016/01/08,-35.721
2016/01/09,-42.763
2016/01/10,-42.056
2016/01/11,-48.892
2016/01/12,-39.826
2016/01/13,-38.466
2016/01/14,-40.771
2016/01/15,-34.632
2016/01/16,-44.805
2016/01/17,-40.005
2016/01/18,-48.076
2016/01/19,-39.562
2016/01/20,-41.608
2016/01/21,-48.705
2016/01/22,-38.946
2016/01/23,-43.769
2016/01/24,-41.209
2016/01/25,-40.624
2016/01/26,-36.696
2016/01/27,-41.257
2016/01/28,-42.324
2016/01/29,-47.511
2016/01/30,-41.128
2016/01/31,-39.208
2016/02/01,-42.533
2016/02/02,-41.03
2016/02/03,-45.17
2016/02/04,-47.798
2016/02/05,-48.59
2016/02/06,-45.932
2016/02/07,-51.909
2016/02/08,-40.161
2016/02/09,-37.577
2016/02/10,-37.009
2016/02/11,-38.123
2016/02/12,-38.562
2016/02/13,-36.66
2016/02/14,-37.834
2016/02/15,-42.979
2016/02/16,-42.579
2016/02/17,-44.872
2016/02/18,-45.706
2016/02/19,-42.538
2016/02/20,-44.553
2016/02/21,-41.133
2016/02/22,-46.193
2016/02/23,-48.856
2016/02/24,-41.122
2016/02/25,-47.12
2016/02/26,-45.426
2016/02/27,-43.245
2016/02/28,-45.129
2016/02/29,-43.594
2016/03/01,-41.078
2016/03/02,-44.185
2016/03/03,-45.41
2016/03/04,-42.353
2016/03/05,-42.245
2016/03/06,-43.951
2016/03/07,-37.314
2016/03/08,-35.112
2016/03/12,-35.697
2016/03/13,-42.782
2016/03/14,-39.513
2016/03/15,-36.723
2016/03/16,-41.696
2016/03/17,-39.953
2016/03/18,-41.377
2016/03/19,-33.005
2016/03/20,-46.72
2016/03/21,-40.185
2016/03/22,-43.239
2016/03/23,-45.297
2016/03/24,-49.121
2016/03/25,-45.551
2016/03/26,-44.635
2016/03/27,-40.481
2016/03/28,-37.921
2016/03/29,-37.975
2016/03/30,-41.23
2016/03/31,-38.138
2016/04/01,-38.413
2016/04/02,-37.251
2016/04/03,-38.408
2016/04/04,-38.767
2016/04/05,-43.168
2016/04/06,-39.093
2016/04/07,-39.481
2016/04/08,-38.131
2016/04/09,-42.667
2016/04/10,-39.256
2016/04/11,-34.707
2016/04/12,-28.035
2016/04/13,-39.067
2016/04/14,-40.829
2016/04/15,-40.286
2016/04/16,-37.871
2016/04/17,-39.398
2016/04/18,-42.335
2016/04/19,-41.891
2016/04/20,-38.244
2016/04/21,-31.193
2016/04/22,-31.756
2016/04/23,-38.276
2016/04/24,-31.579
2016/04/25,-32.325
2016/04/26,-29.427
2016/04/27,-33.159
2016/05/09,-31.387
2016/05/10,-27.245
2016/05/11,-34.668
2016/05/12,-32.787
2016/05/13,-33.055
2016/05/14,-32.056
2016/05/15,-37.907
2016/05/16,-27.026
2016/05/17,-33.277
2016/05/18,-42.387
2016/05/19,-26.952
2016/05/20,-35.562
2016/05/21,-40.963
2016/05/22,-33.518
2016/05/23,-27.828
2016/05/24,-39.64
2016/05/25,-29.843
2016/05/26,-28.459
2016/05/27,-31.553
2016/05/28,-32.533
2016/05/29,-34.103
2016/05/30,-29.399
2016/05/31,-33.196
2016/06/01,-42.86
2016/06/02,-36.021
2016/06/03,-40.265
2016/06/04,-36.126
2016/06/05,-42.126
2016/06/06,-51.174
2016/06/07,-43.831
2016/06/08,-32.407
2016/06/09,-31.158
2016/06/10,-32.483
2016/06/11,-33.308
2016/06/12,-38.741
2016/06/13,-46.52
2016/06/14,-43.924
2016/06/15,-37.023
2016/06/16,-39.511
2016/06/17,-39.334
2016/06/18,-34.517
2016/06/19,-42.569
2016/06/20,-49.808
2016/06/21,-36.348
2016/06/22,-43.917
2016/06/23,-42.464
2016/06/24,-42.982
2016/06/25,-36.867
2016/06/26,-46.39
2016/06/27,-46.854
2016/06/28,-43.757
2016/06/29,-39.67
2016/06/30,-39.364
2016/07/01,-35.301
2016/07/02,-44.029
2016/07/03,-36.809
2016/07/04,-38.86
2016/07/05,-44.092
2016/07/06,-40.554
2016/07/07,-37.807
2016/07/08,-58.758
2016/07/09,-39.917
2016/07/10,-45.39
2016/07/11,-38.612
2016/07/12,-43.287
2016/07/13,-46.401
2016/07/14,-42.796
2016/07/15,-39.637
2016/07/16,-49.77
2016/07/17,-49.941
