Date,Up
4/25/2015,0
4/26/2015,-18.758
4/27/2015,-12.548
4/28/2015,-20.283
4/29/2015,-20.174
4/30/2015,-14.174
5/1/2015,-11.358
5/2/2015,-10.568
5/3/2015,-27.833
5/4/2015,-19.447
5/5/2015,-13.504
5/6/2015,-13.716
5/7/2015,-14.011
5/9/2015,-13.863
5/10/2015,-10.394
5/11/2015,-17.76
5/12/2015,-18.519
5/13/2015,-12.388
5/14/2015,-21.367
5/15/2015,-21.029
5/16/2015,-2.854
5/17/2015,-20.985
5/18/2015,-18.762
5/19/2015,-27.416
5/20/2015,-17.685
5/21/2015,-21.938
5/22/2015,-18.504
5/23/2015,-13.258
5/24/2015,-14.229
5/25/2015,-10.845
5/26/2015,-23.79
5/27/2015,-26.841
5/28/2015,-21.607
5/29/2015,-27.083
5/30/2015,-22.56
5/31/2015,-10.841
6/1/2015,-4.173
6/2/2015,-17.909
6/3/2015,-17.593
6/4/2015,-22.707
6/5/2015,-20.784
6/6/2015,-20.855
6/7/2015,-21.395
6/8/2015,-16.456
6/9/2015,-12.915
6/10/2015,-22.268
6/11/2015,-21.837
6/12/2015,-31.07
6/13/2015,-20.861
6/14/2015,-19.341
6/15/2015,-35.692
6/16/2015,-28.607
6/17/2015,-34.565
6/18/2015,-47.353
6/19/2015,-13.91
6/20/2015,-32.4
6/21/2015,-38.577
6/22/2015,-27.769
6/23/2015,-25.019
6/24/2015,-32.477
6/25/2015,-31.233
6/26/2015,-23.737
6/27/2015,-28.535
6/28/2015,-36.806
6/29/2015,-33.781
6/30/2015,-29.268
7/1/2015,-19.912
7/2/2015,-38.408
7/3/2015,-45.468
7/4/2015,-31.287
7/5/2015,-28.472
7/6/2015,-34.981
7/7/2015,-33.129
7/8/2015,-42.811
7/9/2015,-42.102
7/10/2015,-38.989
7/11/2015,-45.103
7/12/2015,-43.126
7/13/2015,-37.722
7/14/2015,-43.27
7/15/2015,-33.512
7/16/2015,-40.808
7/17/2015,-36.668
7/18/2015,-40.474
7/19/2015,-33.46
7/20/2015,-41.409
7/21/2015,-49.424
7/22/2015,-43.507
7/23/2015,-52.795
7/24/2015,-46.328
7/25/2015,-50.841
7/26/2015,-40.223
7/27/2015,-40.31
7/28/2015,-40.145
7/29/2015,-49.493
7/30/2015,-42.699
7/31/2015,-47.28
8/1/2015,-46.079
8/2/2015,-53.781
8/3/2015,-51.925
8/4/2015,-44.06
8/5/2015,-50.698
8/6/2015,-51.261
8/7/2015,-49.781
8/8/2015,-42.923
8/9/2015,-50.268
8/10/2015,-45.768
8/11/2015,-64.24
8/12/2015,-55.36
8/13/2015,-42.583
8/14/2015,-42.943
8/15/2015,-59.316
8/16/2015,-43.628
8/17/2015,-57.11
8/18/2015,-51.941
8/19/2015,-57.95
8/20/2015,-58.298
8/21/2015,-53.079
8/22/2015,-52.811
8/23/2015,-66.641
8/24/2015,-69.788
8/25/2015,-58.742
8/26/2015,-64.826
8/27/2015,-64.52
8/28/2015,-55.09
8/29/2015,-55.125
8/30/2015,-65.4
8/31/2015,-65.128
9/1/2015,-72.688
9/2/2015,-63.259
9/3/2015,-60.121
9/4/2015,-70.432
9/5/2015,-71.947
9/6/2015,-72.5
9/7/2015,-61.15
9/8/2015,-59.861
9/9/2015,-61.708
9/10/2015,-76.817
9/11/2015,-68.124
9/12/2015,-67.302
9/13/2015,-65.243
9/14/2015,-60.253
9/15/2015,-61.79
9/16/2015,-64.743
9/17/2015,-67.455
9/18/2015,-62.508
9/19/2015,-77.897
9/20/2015,-57.101
9/21/2015,-63.715
9/22/2015,-48.835
9/23/2015,-57.975
9/24/2015,-67.002
9/25/2015,-60.84
9/26/2015,-66.151
9/27/2015,-68.237
9/28/2015,-70.386
9/29/2015,-80.714
9/30/2015,-74.63
10/1/2015,-76.097
10/2/2015,-66.47
10/3/2015,-66.981
10/4/2015,-68.744
10/5/2015,-74.205
10/6/2015,-69.308
10/7/2015,-72.94
10/8/2015,-66.684
10/9/2015,-67.622
10/10/2015,-71.541
10/11/2015,-72.414
10/12/2015,-66.609
10/13/2015,-78.04
10/14/2015,-65.129
10/15/2015,-73.58
10/16/2015,-74.553
10/17/2015,-72.596
10/18/2015,-75.269
10/19/2015,-74.277
10/20/2015,-75.954
10/21/2015,-71.611
10/22/2015,-70.999
10/23/2015,-77.92
10/24/2015,-73.308
10/25/2015,-77.082
10/26/2015,-72.99
10/27/2015,-81.062
10/28/2015,-74.565
10/29/2015,-67.035
10/30/2015,-79.058
10/31/2015,-75.405
11/1/2015,-77.915
11/2/2015,-74.154
11/3/2015,-73.882
11/4/2015,-76.072
11/5/2015,-72.083
11/6/2015,-71.968
11/7/2015,-77.706
11/8/2015,-71.044
11/9/2015,-73.083
11/10/2015,-73.436
11/11/2015,-74.136
11/12/2015,-74.381
11/13/2015,-74.002
11/14/2015,-71.361
11/15/2015,-72.096
11/16/2015,-72.51
11/17/2015,-73.585
11/18/2015,-77.033
11/19/2015,-73.02
11/20/2015,-79.488
11/21/2015,-72.98
11/22/2015,-81.714
11/23/2015,-77.707
11/24/2015,-75.852
11/25/2015,-76.632
11/26/2015,-74.224
11/27/2015,-78.318
11/28/2015,-76.614
11/29/2015,-77.247
11/30/2015,-75.31
12/1/2015,-73.511
12/2/2015,-74.314
12/3/2015,-79.616
12/4/2015,-79.957
12/5/2015,-83.836
